void_mm,center_mm,t_max,t_die_mean,t_top_max,rise,iters,residual,q_out
0.0,0.0,36.30542205874699,30.99166666664767,30.579431419305617,,2404,9.998643690778408e-09,4.999999999999999
0.5,5.0,39.32605117032899,31.391359235293425,30.524451437776904,3.0206291115819965,2403,9.99528992906562e-09,5.000000000000002
1.0,5.0,43.123166496965624,32.080470483818196,30.440074518139777,6.817744438218632,2402,9.966504421754508e-09,4.999999999999999
2.0,5.0,50.875532205798386,34.084286746633644,30.26310392104507,14.570110147051395,2397,9.995255823014304e-09,4.999999999999998
0.5,3.0,36.30976950537406,31.009315830145248,30.579857795407264,0.00434744662706521,2417,9.985262749978574e-09,5.0
1.0,3.0,36.32193655239578,31.048595564249293,30.58063046109282,0.016514493648791984,2526,9.97576989902882e-09,5.0
2.0,3.0,36.44514814081329,31.28024862671471,30.582510290481256,0.13972608206629644,3382,9.993095773097593e-09,5.0
0.5,1.0,36.3055252812671,30.994308519268344,30.579521344346475,0.00010322252011008004,2479,9.965037861547898e-09,4.999999999999998
1.0,1.0,36.30574405125214,30.999874238571454,30.57970789393722,0.0003219925051496375,2574,9.999689609685447e-09,5.000000000000002
2.0,1.0,36.30802123107559,31.05692494902093,30.581594082170554,0.0025991723286011847,5725,9.986524673877283e-09,4.999999999999998
