idx,split,tim_mm,tim_k,spot_mm,q_w,r_sink,t_max,t_die_mean,t_top_max,penalty,t_1d,iters,residual,q_out,seconds
0,train,0.05,2.747125117426749,5.95,10.763152406831095,0.372647835160326,33.174969696999504,31.301714056829134,29.463669901039907,1.8732556401703704,31.310683350556367,2086,9.946828967599793e-09,10.763152406831093,1.0991830825805664
1,train,0.2,9.454147019347436,4.15,12.004900273877354,0.4029349020258865,37.132281524845084,32.746949566764904,30.626238345756924,4.3853319580801795,32.756953650392376,2172,9.963533776771132e-09,12.004900273877356,1.0474653244018555
2,test,0.22500000000000003,2.348540339649495,7.65,10.014111681129304,1.9947242524776503,57.53323227240533,54.87809825253908,45.16283898391892,2.655134019866246,54.88644334584707,2241,9.998097534088521e-09,10.014111681129304,1.1011767387390137
3,train,0.15000000000000002,2.7759663595175303,0.6000000000000001,8.764187018221687,0.34748695934552737,51.60075457483597,33.05141901963532,28.781694049955217,18.54933555520065,33.05872250898946,2173,9.947742752818253e-09,8.764187018221683,1.3968358039855957
4,train,0.22500000000000003,4.282174876280268,4.1000000000000005,5.963363553818157,2.8042664691319525,49.164885080433194,45.040084417433626,42.11088990545802,4.124800662999569,45.045053887129534,2443,9.9993135844741e-09,5.963363553818157,1.1751220226287842
5,train,0.22500000000000003,7.818458248486394,4.4,3.724941909927546,0.8787033020935759,31.009174308250667,29.459936861062193,28.515036670358835,1.5492374471884744,29.46304097934613,2327,9.976228995798303e-09,3.724941909927547,1.3877089023590088
6,train,0.15000000000000002,1.4265581920717942,3.1000000000000005,11.42667018270944,2.783754852955395,85.25471633749089,69.17630683171588,57.52137810007964,16.078409505775014,69.18582905715331,2463,9.956984018554028e-09,11.42667018270944,1.257129192352295
7,train,0.05,2.117509454710026,1.0,7.573781357861311,0.4640797449765964,40.020731048894554,30.53673358572647,29.297937731285995,9.483997463168084,30.543045070239035,2253,9.98105884875572e-09,7.573781357861309,0.9755728244781494
8,train,0.15000000000000002,2.9902322853456824,0.6000000000000001,10.377395925555145,0.8208677122336988,60.38135013464268,39.04408601437219,34.49315930684532,21.33726412027049,39.0527338444469,2375,9.96349277843132e-09,10.377395925555144,1.425964593887329
9,train,0.07500000000000001,6.802651084037404,3.3,5.373132979348575,2.0388301915509084,38.52610466797046,36.71297134878794,36.45681695129075,1.8131333191825192,36.71744895961696,2448,9.972033368890223e-09,5.373132979348576,1.147963047027588
10,test,0.125,2.440497566986986,0.7,10.554937055649656,0.4138793309168114,56.26007920090211,35.10005409801312,30.2891061925217,21.160025102888994,35.10884987907519,2224,9.980164389813139e-09,10.55493705564966,1.1336331367492676
11,train,0.22500000000000003,1.58455822643396,0.25,12.016941285029937,1.3866667797107013,99.23742291838994,59.09752105185855,42.45943086230056,40.13990186653139,59.10753517165902,2444,9.956582391401585e-09,12.016941285029938,1.2543604373931885
12,train,0.15000000000000002,6.03571925764201,1.35,8.962376743340513,0.41392175508766127,41.16098881721199,31.213397058190978,29.587523361422694,9.947591759021009,31.220865705535893,2224,9.958748769702246e-09,8.962376743340513,1.1797852516174316
13,train,0.2,1.3017574550948767,2.9499999999999997,7.595346886003855,1.1024460892233359,58.57637592004304,45.27702369139988,33.76822058086599,13.299352228643158,45.28335315216199,2390,9.988358259296419e-09,7.595346886003856,1.3761951923370361
14,train,0.05,4.312392876786837,1.9500000000000002,8.82890025043579,0.6040478637831737,36.68381699903045,31.628968796973087,31.272669126037364,5.054848202057361,31.636326213874085,2312,9.955005323068855e-09,8.82890025043579,1.0500881671905518
15,train,0.2,1.073539020435079,1.25,4.004185419473409,0.7685106643786344,47.07690987787743,35.660507047163954,28.293239945407173,11.41640283071348,35.66384392117318,2359,9.977091224416459e-09,4.004185419473411,1.30894136428833
16,train,0.25,1.7137185031442421,0.30000000000000004,4.939374488307951,0.5898139125461955,51.64112334931933,35.27124778403535,28.217137450500964,16.369875565283976,35.27536393251906,2311,9.991369415552501e-09,4.939374488307948,1.2748682498931885
17,train,0.22500000000000003,4.591097487934229,1.9500000000000002,11.974574927489789,1.3849522336510944,63.43061502617107,47.82191684399526,42.64167238607962,15.608698182175807,47.83189565656323,2439,9.96823539054805e-09,11.97457492748979,1.4565608501434326
18,train,0.125,6.5165898053958085,0.45000000000000007,1.3179690238740467,0.36912130746549865,27.675868691701318,25.779938166831208,25.625952905691765,1.89593052487011,25.781036474356867,2194,9.971510224549782e-09,1.317969023874042,1.1253886222839355
19,train,0.125,5.276662905689198,1.35,3.257804906470425,0.9509682772483414,32.519150792553965,28.970266500001134,28.445618037259784,3.548884292552831,28.972981337439943,2399,9.991797514507907e-09,3.257804906470426,1.0986354351043701
20,train,0.25,4.969587882290162,1.3000000000000003,6.334297165350755,0.6006664065692984,42.44271692457241,32.186637422555464,29.358234920587616,10.256079502016945,32.19191600361604,2313,9.981833735692161e-09,6.334297165350755,1.3152189254760742
21,test,0.07500000000000001,4.268571821620996,0.95,2.227098870425414,0.3936653196341344,28.785998836919212,26.336707966933048,26.112988568568753,2.4492908699861644,26.33856388266903,2211,9.959943971477371e-09,2.2270988704254107,0.967120885848999
22,train,0.125,8.101784566026197,3.3,4.722179460433274,2.7944582921452565,41.01015166744093,39.070104965369374,38.62752949677248,1.9400467020715553,39.07404011493409,2468,9.959594844771607e-09,4.7221794604332725,1.1334857940673828
23,train,0.25,6.008290242468465,3.5,7.291061030013042,0.5615168803338831,37.56848051441419,32.35261190042529,29.60123088018645,5.215868613988903,32.35868778469939,2267,9.976829183771485e-09,7.291061030013042,1.3880774974822998
24,train,0.05,7.991023292122631,1.35,3.8330871071332244,0.6068451409568811,29.757906721449146,27.684114200893514,27.780931203630672,2.0737925205556316,27.68730844015612,2319,9.9925434172705e-09,3.8330871071332258,1.0620148181915283
25,train,0.05,3.795068060779586,0.5,12.992599977293256,1.7204449647727968,65.15210966356416,49.465432680241065,48.97732548021311,15.686676983323096,49.47625984692756,2468,9.966712960010155e-09,12.992599977293253,1.2777955532073975
26,train,0.15000000000000002,2.704537700568954,2.5500000000000003,9.177371564778298,1.3395775367160805,53.34586634131083,42.666755127641444,38.031925721716476,10.679111213669387,42.67440293739068,2426,9.971295888136378e-09,9.177371564778294,1.1203851699829102
27,train,0.2,1.214630888355025,1.15,1.5825984340664947,0.9356470959347375,33.567895032528035,29.13544237224465,26.57359088483208,4.432452660283385,29.136761207426684,2391,9.963304212377825e-09,1.5825984340664963,1.129836082458496
28,train,0.07500000000000001,1.3948393437351905,0.35,9.227024010487968,0.4443387851004989,55.70472706375328,34.34576151903274,29.911323596239804,21.35896554472054,34.35345070586381,2247,9.982009814514316e-09,9.227024010487968,1.1081523895263672
29,test,0.1,8.41627889241259,2.15,5.856177263487719,1.1695983480172458,35.872479977593656,32.72575621366878,32.48222401155385,3.146723763924875,32.73063636140395,2420,9.977174027176226e-09,5.856177263487719,1.1106152534484863
30,train,0.1,9.089902255505235,1.5,11.958293181504008,0.36295372224923916,39.00512789756913,31.02457901220173,30.60229173472521,7.980548885367401,31.03454425655622,2181,9.962969572806818e-09,11.958293181504008,1.0470833778381348
31,train,0.05,3.0666084698049927,1.5500000000000003,14.129570369649759,1.119049524669886,55.18590654910225,43.55112877769863,42.39375622251504,11.63477777140362,43.562903419727206,2420,9.969134224730286e-09,14.129570369649759,1.3273231983184814
32,train,0.15000000000000002,1.8491649929332197,0.8500000000000001,8.28941363460153,0.8242001989570679,58.0645018464363,38.811907804574105,32.49697931686657,19.252594041862196,38.8188156494723,2377,9.972330118375034e-09,8.28941363460153,1.2578094005584717
33,train,0.15000000000000002,1.0510226609249051,5.25,13.546250805756735,0.4143528627521109,62.28985730164174,50.36356114002032,31.050075241005324,11.926296161621416,50.374849694208024,2146,9.962256249946961e-09,13.546250805756738,1.2312753200531006
34,train,0.1,1.2840316865981996,3.0,4.937272973746117,1.3694427760594572,41.85119878066227,35.75867867294583,32.10122070389459,6.092520107716446,35.76279306719415,2413,9.990740606634291e-09,4.937272973746117,1.3982195854187012
35,train,0.15000000000000002,5.333282816091307,4.25,2.508373243382552,2.4724817796686085,33.07598056376087,31.984735306254617,31.38004480182392,1.0912452575062552,31.986825617304273,2440,9.983872113091024e-09,2.508373243382552,1.6634528636932373
36,train,0.25,1.0899650092737543,1.9500000000000002,6.192911974074143,2.027267218901287,68.0333058071424,51.95001748154742,37.851391457345954,16.083288325594978,51.95517884297723,2460,9.973559622952941e-09,6.1929119740741445,1.5895898342132568
37,test,0.1,6.43059964292407,0.8,14.340591530976429,0.5861909279023584,52.001208477687314,36.07854799521706,35.03149301540781,15.922660482470256,36.09049848821503,2311,9.996529515502919e-09,14.340591530976432,1.3490424156188965
38,train,0.175,1.802872816622875,7.9,3.304509446148254,0.3326839690243641,30.174985299363726,29.408844520063898,26.145675720279623,0.7661407792998283,29.411598278153125,1933,9.993352381624876e-09,3.304509446148251,1.0619642734527588
