idx,split,tim_mm,tim_k,spot_mm,q_w,r_sink,void_mm,void_center_mm,t_max,t_die_mean,penalty,t_1d,iters,residual,q_out,seconds
0,train,0.05,2.747125117426749,5.95,10.763152406831095,0.372647835160326,2.075,7.267059619319859,42.595136389309815,33.60247551940801,8.992660869901805,31.310683350556367,4191,9.994297277014112e-09,10.763152406831098,6.417645454406738
1,train,0.2,1.3431163400862884,1.3000000000000003,6.191172339256138,2.5344646814192884,2.4499999999999997,4.572777201146351,88.67490768457897,59.81753918550507,28.8573684990739,50.106476928106545,4945,9.989638312060185e-09,6.191172339256137,9.5617835521698
2,train,0.15000000000000002,3.5857894656692637,0.30000000000000004,12.586836407896149,1.2846524628840803,0.675,9.389259077482473,74.05488992193483,46.87392572971398,27.18096419222085,46.833592801935986,3058,9.984140909117701e-09,12.586836407896147,5.620339870452881
3,train,0.1,7.818458248486394,4.4,3.724941909927546,0.8787033020935759,0.0,0.0,29.79839591196959,28.867504463128025,0.9308914488415638,28.867504463139646,2328,9.947509268918556e-09,3.724941909927546,4.0694053173065186
4,test,0.15000000000000002,4.820021253638054,3.9000000000000004,14.54513625407894,0.6352528364130078,0.925,2.1819525836898928,46.871643840622504,39.54896915355717,7.322674687065337,39.22690976832821,3125,9.996742895844677e-09,14.545136254078937,5.744929075241089
5,train,0.07500000000000001,1.3487190922030314,1.4500000000000002,4.176730886712377,1.4026045693810776,2.5250000000000004,6.496981637466813,46.121285902446374,35.87465221022643,10.246633692219945,33.31317475968765,4476,9.993763177479759e-09,4.176730886712377,7.4675164222717285
6,train,0.05,6.796100638503029,4.8500000000000005,6.424697306422442,0.5827058238290257,0.375,2.1116164488229177,30.44590601699041,29.429564438779938,1.016341578210472,29.41983254731748,2297,9.961913531421685e-09,6.424697306422441,3.824286699295044
7,train,0.1,1.0170967574190222,4.55,10.30791199228845,1.5215514188044927,0.9000000000000001,5.625544883171334,67.58821387094298,53.399286873893885,14.188926997049094,51.145077798343856,3112,9.990663576353411e-09,10.30791199228845,5.334936857223511
8,train,0.05,1.3017574550948767,2.9499999999999997,7.595346886003855,1.1024460892233359,1.4500000000000002,5.458103875625865,53.14154411890223,39.032638098510276,14.108906020391956,36.53132312966029,3729,9.986367520802981e-09,7.595346886003858,6.352219581604004
9,train,0.07500000000000001,3.6241583144448684,0.75,1.4314496839511517,0.8200468107864839,0.7750000000000001,8.260143350898833,28.40262429172246,26.518256723623136,1.884367568099325,26.51541577325827,2501,9.981721645758437e-09,1.4314496839511501,4.266759634017944
10,test,0.05,1.14367529987949,0.7,5.110312608733571,1.3773292463802682,2.2,6.281645614553623,49.73730925747627,36.80746907790781,12.929840179568458,34.43457193774953,4219,9.990081356998642e-09,5.110312608733571,7.0316784381866455
11,train,0.1,2.5490999323088417,5.050000000000001,3.3376208787078547,0.31610642842152414,0.0,0.0,28.840447857049682,27.470067828319305,1.3703800287303771,27.47006782836224,2070,9.943414541949044e-09,3.337620878707857,3.466722249984741
12,train,0.2,2.896524659792793,0.45000000000000007,8.01462685144709,0.4260233052131523,0.8500000000000001,3.911344218782814,56.09742347290658,35.38724874628438,20.7101747266222,34.20217506209461,3545,9.986396190626429e-09,8.014626851447092,6.53824520111084
13,train,0.2,2.002221355230995,2.5500000000000003,6.065376547747466,0.3670888336386252,0.0,0.0,43.12132226846406,33.47724960321209,9.644072665251976,33.47724960359958,2177,9.953822143421551e-09,6.0653765477474675,4.06695818901062
14,train,0.125,8.101784566026197,3.3,4.722179460433274,2.7944582921452565,1.825,4.586030280025472,48.29322867047782,40.598477498823534,7.694751171654289,39.07404011493409,4363,9.988918289487158e-09,4.722179460433274,7.489920377731323
15,train,0.25,1.8717229344462774,0.35,13.636433551613784,0.8568356832360383,0.575,5.74664443727737,104.7131308855484,57.97544829527556,46.73768259027283,55.32974806276685,2832,9.994202621558254e-09,13.636433551613788,5.3828370571136475
16,train,0.15000000000000002,7.188102875935293,4.1000000000000005,11.072481383313114,0.8113613101706861,1.2750000000000001,6.307411598565806,48.20352804111292,38.19109113734151,10.012436903771409,36.64499649447279,3449,9.999293981805319e-09,11.07248138331311,6.386862754821777
17,train,0.07500000000000001,1.214630888355025,1.15,1.5825984340664947,0.9356470959347375,0.375,1.1827535643295595,30.516464671798406,27.514408810988147,3.002055860810259,27.508078731499975,2528,9.982125127931576e-09,1.5825984340664947,4.437788724899292
18,train,0.07500000000000001,1.4811292836683299,7.6,9.134855955805529,0.6667930419191165,0.275,9.459488348773057,37.600056171141134,36.070730579264236,1.5293255918768978,36.00594932155143,2795,9.99314971780516e-09,9.134855955805529,4.661511182785034
19,train,0.175,3.036011672443996,4.500000000000001,2.1582199989141397,0.9199825409414977,3.375,5.475198346991499,37.45472377348411,31.291701802126443,6.163021971357669,28.297896835752415,4865,9.998285983293944e-09,2.158219998914139,5.452697515487671
20,train,0.15000000000000002,1.8491649929332197,0.8500000000000001,8.28941363460153,0.8242001989570679,0.0,0.0,58.14577060755985,38.81881564926961,19.326954958290237,38.8188156494723,2377,9.972330118375034e-09,8.28941363460153,4.155954122543335
21,train,0.15000000000000002,6.703350440227262,6.800000000000001,2.963487245980551,1.0743787212245999,0.0,0.0,29.36713326195274,28.940887082939287,0.42624617901345374,28.94088708295469,2247,9.999478467003535e-09,2.963487245980551,3.823080062866211
22,train,0.175,1.9108816230563588,2.85,11.177924600016357,1.761038078192156,0.0,0.0,70.97880964744893,55.27554727714656,15.703262370302369,55.2755472774043,2444,9.970244260204484e-09,11.177924600016357,4.267056226730347
23,train,0.2,8.241605932228696,0.6000000000000001,1.523775786466517,1.0764000867957488,2.5,7.311886040482263,29.419252328652846,27.214211138170587,2.205041190482259,27.058221713114552,4096,9.987895820620473e-09,1.523775786466516,7.250292778015137
24,train,0.25,8.972209279299387,0.75,8.210799809244003,0.5408618449868624,0.4,0.6311419461663583,44.1627475512037,31.99490928923924,12.167838261964462,31.98875925074563,2950,9.98524584004202e-09,8.210799809244005,5.4429771900177
25,train,0.1,2.723309869643026,9.700000000000001,13.483481727568796,1.6816254606776362,2.975,5.132479981714805,72.92886332050385,59.54302526552663,13.38583805497722,53.05228063264026,2355,9.98473384928539e-09,13.483481727568796,3.941836357116699
26,train,0.15000000000000002,5.915785684573098,2.85,6.231208204231941,0.37289617001399367,0.525,9.138804601307559,33.14902738235189,29.108214680438497,4.040812701913392,29.10089344826322,2413,9.97615648223891e-09,6.231208204231938,4.06024694442749
27,train,0.1,1.741688863784659,0.4,12.635577409748686,0.4269780714985293,0.0,0.0,67.74372329153655,38.05002561361682,29.693697677919737,38.050025613870204,2234,9.945389238666206e-09,12.635577409748688,3.729785919189453
28,train,0.125,7.491383685100127,0.5,5.344531420601327,1.7969090374942174,1.0,1.795077522961257,42.85159090529637,35.67717243934115,7.17441846595522,35.664660056623475,2720,9.980984121968908e-09,5.34453142060133,4.612524032592773
29,test,0.175,1.0326099077053053,0.6000000000000001,2.8455110490112947,1.4281700731541715,0.0,0.0,43.19034777154829,33.97636831553005,9.213979456018237,33.9763683218795,2439,9.957458041980063e-09,2.8455110490112956,4.299582481384277
30,train,0.1,4.946094795142289,2.15,3.7968591232408064,1.910934410472868,1.9500000000000002,2.030014900036372,35.95914564873357,33.22929325695886,2.729852391774706,33.14343049031688,2545,9.96503452378343e-09,3.7968591232408073,3.3632614612579346
31,train,0.15000000000000002,1.3297004130129588,7.65,6.566094713549169,0.5998876850480628,1.575,8.838625940620721,41.722268565315716,38.41584770509985,3.306420860215866,36.5538841281975,5002,9.999007913463281e-09,6.566094713549169,4.71563196182251
32,test,0.15000000000000002,8.410240775222569,0.25,8.772772592575546,1.2915058164207731,0.0,0.0,52.10135279285281,38.172550291010054,13.928802501842753,38.17255029104434,2445,9.999206415111864e-09,8.772772592575546,2.166632652282715
33,train,0.1,1.3814640797744036,1.15,14.527246770004544,1.1834878615770348,2.325,4.749653791936863,132.33005955725432,69.80541336044237,62.52464619681194,53.168683572523975,3982,9.996070373989453e-09,14.527246770004538,3.1402475833892822
34,train,0.175,1.0419257805261362,0.35,12.612000608358308,1.879050028408094,1.1,5.943540804230096,123.96827199667997,75.85450275195001,48.113769244729966,70.28085191311203,4130,9.99027996088102e-09,12.612000608358308,3.733445167541504
35,train,0.22500000000000003,7.3746082308549425,2.3,6.776001969831524,0.7100767587035088,1.5250000000000001,8.114483104100954,38.09748032801452,32.23889301592185,5.858587312092666,32.09341957064582,3302,9.997937388942977e-09,6.776001969831526,3.204521894454956
36,train,0.1,1.7694551655124113,0.6000000000000001,11.444199923408249,1.9664821931258158,0.0,0.0,79.31015199729035,54.334855546134946,24.9752964511554,54.33485554628345,2475,9.949679543066916e-09,11.444199923408247,2.2207345962524414
37,train,0.15000000000000002,1.1656250093036375,2.2500000000000004,3.046425418697776,2.0034820011392784,0.375,9.051840797691709,41.0618183350821,35.17018605212535,5.891632282956749,35.120261579627204,2592,9.982202482979306e-09,3.0464254186977753,2.1994988918304443
38,train,0.175,1.9262829576781848,0.45000000000000007,2.6168608913149694,0.31497005846597237,0.0,0.0,35.43869637431717,28.2844800799365,7.154216294380667,28.28448008008443,2145,9.977017344144706e-09,2.61686089131497,1.704627275466919
39,test,0.07500000000000001,1.4950009579257393,0.30000000000000004,9.276013425553597,1.4382546324752812,0.6000000000000001,5.042546628008962,73.45660128520397,45.08265216325481,28.373949121949167,43.288525164507064,2525,9.995799014360833e-09,9.2760134255536,1.9108085632324219
40,train,0.2,7.097928607768466,0.30000000000000004,3.540977734351337,0.5174473007755811,1.2249999999999999,4.265202785545512,37.05472076094316,28.71546085010431,8.339259910838852,27.942149937895543,3933,9.985096515110274e-09,3.540977734351338,3.0237388610839844
41,train,0.22500000000000003,1.1200930949164654,1.0,8.332541282046922,0.37913437081569673,0.30000000000000004,9.120966129475201,71.0392745131105,45.37459066093253,25.664683852177966,45.16110557996747,3181,9.985829876931818e-09,8.33254128204692,2.6524064540863037
42,train,0.2,6.975493712608939,7.0,14.713989528212299,1.9017224569491855,1.4749999999999999,7.3784439227785485,68.35078864063802,59.69635875502332,8.654429885614697,57.666633798874635,4048,9.995617512384414e-09,14.713989528212299,3.688018560409546
43,test,0.05,1.3631768697302984,1.8000000000000003,8.199120182665801,2.161192236788674,0.7250000000000001,6.294449340724195,56.41701830523372,46.50988727415533,9.907131031078386,45.986871125806594,3006,9.991580194324257e-09,8.1991201826658,2.2602691650390625
44,train,0.1,1.3796483661106373,1.4500000000000002,6.83645116032839,0.5124968439239841,0.7,3.395708749036673,47.016276149484085,34.20940971186452,12.806866437619568,33.67536000328201,3707,9.992165779633426e-09,6.836451160328387,2.750276803970337
45,train,0.1,2.395874579997042,3.15,5.156270643997994,2.6667308276687023,0.95,3.4466689052924337,46.26160164645867,41.62024194662879,4.641359699829884,41.065813264214036,4107,9.99533982683236e-09,5.156270643997994,3.100382089614868
46,test,0.15000000000000002,7.056031139956475,2.8,12.261485591259085,1.022924382920664,0.55,7.219740383832248,47.884267212114736,40.642590854099105,7.241676358015631,40.537449787073726,2963,9.992158983100557e-09,12.261485591259085,2.011012315750122
47,train,0.15000000000000002,1.5936927359341115,3.2500000000000004,13.050066956562517,0.4066531043601256,0.32500000000000007,7.1837987035260555,59.87177187811844,43.41347896953793,16.45829290858051,43.0029596473077,3257,9.998192092711958e-09,13.050066956562517,2.3744895458221436
48,train,0.175,8.62858978850404,0.4,14.424323442727125,1.8967296394585045,2.2,7.301895744068071,78.10860761054566,56.538150366056634,21.570457244489027,55.74126877039395,4545,9.990700430949393e-09,14.424323442727125,3.434110641479492
49,test,0.05,8.831349307623949,0.6500000000000001,9.261062535016329,0.37339668010095106,0.4,5.623525870135443,36.66875051149947,29.3861406386032,7.282609872896266,29.27564583971104,2329,9.977269225561678e-09,9.261062535016324,1.697213888168335
50,train,0.05,2.92405241294633,1.7000000000000002,11.69492746009223,1.8895829919910958,1.325,8.740974344611633,58.83920978490681,49.50739069599556,9.331819088911246,49.46865614163406,2659,9.98225231720359e-09,11.694927460092229,1.7546312808990479
51,train,0.175,1.3174483215226962,0.4,2.2279261667507577,1.364534560316583,2.15,6.344166594472452,41.19808760112371,32.89549223228988,8.302595368833828,31.07004404814471,4389,9.992883718552976e-09,2.227926166750759,7.3141257762908936
52,train,0.2,7.913462475917981,4.15,4.78748917274246,0.693926179855942,0.375,1.6099149607185945,31.67546476949738,29.69497557565359,1.9804891938437912,29.683728564790293,2520,9.978022448654329e-09,4.787489172742458,4.710543632507324
53,test,0.125,8.632318650597895,1.25,6.3664775188837375,1.6099298893255196,3.35,6.864004934497458,48.99476703255232,39.03590020696118,9.958866825591137,36.373083205502894,5010,9.996798493077782e-09,6.366477518883739,8.6346755027771
54,train,0.175,2.3788084552068476,9.5,11.048643304051009,2.6811179158701735,0.0,0.0,63.53100664713636,63.10066095402477,0.4303456931115903,63.10066095420816,1935,9.984915940617428e-09,11.048643304051009,3.5661509037017822
55,train,0.15000000000000002,7.088162724566176,2.6000000000000005,2.7069034966915764,1.1624633106355182,0.25,4.554600127957029,30.90047200726024,28.86356142450779,2.0369105827524514,28.805230676319887,2753,9.990770769607106e-09,2.7069034966915773,5.039053201675415
56,train,0.2,1.974053985349203,1.35,7.192397778950505,0.6012410798840662,2.1750000000000003,1.9528543160445646,53.538005870837225,38.45870509124613,15.079300779591094,36.83905546123876,4713,9.98874576519956e-09,7.192397778950504,5.232487916946411
57,train,0.22500000000000003,9.931953048461054,6.4,4.974718130096545,2.0607145351435583,0.0,0.0,37.39103338644888,36.53598703660494,0.8550463498439385,36.53598703662735,2333,9.958114383167539e-09,4.974718130096546,1.4957513809204102
58,train,0.175,4.631106155286252,2.7500000000000004,2.2661701777778585,2.366762358879721,0.0,0.0,33.26500389693561,31.291587546519903,1.9734163504157074,31.29158754653647,2472,9.981968149382275e-09,2.266170177777859,2.1115915775299072
59,train,0.25,1.7411174093978827,0.4,11.87475116969106,0.47350599501145635,1.5500000000000003,1.080574903680183,86.95481701830091,49.76631573289317,37.188501285407746,48.049274117126906,4324,9.995029660083934e-09,11.874751169691056,3.2325661182403564
60,test,0.05,1.1263099402957049,2.35,12.220745352031814,0.5196059019247004,0.30000000000000004,7.919349380324259,50.529931682157404,37.21242662844017,13.317505053717234,37.16208708976698,2475,9.981653727111482e-09,12.220745352031813,1.7210400104522705
61,train,0.05,8.468284305933292,4.3,10.773690975700921,2.0658627904978855,0.0,0.0,50.16101474202617,48.234254240016305,1.9267605020098628,48.23425424003115,2423,9.995569313585994e-09,10.77369097570092,1.878796100616455
62,train,0.15000000000000002,1.3332871065071787,1.6,11.432633796603824,1.2797734593760055,0.375,7.25822800987593,77.99775702246738,53.258785045923794,24.73897197654359,52.85537366098659,2879,9.992769635174855e-09,11.432633796603824,2.70462965965271
63,train,0.07500000000000001,1.559701503751856,0.7,10.938665761938255,2.8663290129196763,0.30000000000000004,6.128197008297068,84.01695947579822,62.25701344515284,21.759946030645374,61.96018650691107,3082,9.995934048164212e-09,10.938665761938257,2.49979829788208
64,train,0.05,7.658535174846613,3.45,3.423789849915045,0.37054611183333963,0.0,0.0,27.415166405041653,26.600619750980275,0.8145466540613775,26.60061975098717,2162,9.941418461745443e-09,3.423789849915046,1.5745484828948975
65,train,0.05,9.550523544183593,1.35,11.97713327677971,1.2987620704271352,0.375,9.292985365496666,47.63347391052988,41.56336230207109,6.070111608458788,41.56176296486438,2600,9.99835993189755e-09,11.977133276779709,2.018280506134033
66,test,0.15000000000000002,3.784575868046432,3.3,10.089264173434325,2.6164694268009723,0.0,0.0,63.2870541992571,55.716580094716626,7.570474104540473,55.71658009479738,2461,9.981553422208878e-09,10.089264173434325,1.707381010055542
67,train,0.1,3.2236860392333786,1.1,7.638362212756654,0.3947651271757607,0.0,0.0,41.19113794683115,30.626690291600234,10.564447655230914,30.626690291666314,2208,9.989091081832667e-09,7.638362212756651,1.970801830291748
68,train,0.25,2.016993988167548,1.2000000000000002,9.553825658512796,1.2934521651556485,0.7750000000000001,2.395123158779475,73.77716015477002,50.216910959665256,23.56024919510476,49.50161782424237,3207,9.985822893839045e-09,9.553825658512793,2.3950817584991455
69,train,0.1,3.875308209980593,0.8,1.5048376798830918,0.7861787463546681,0.475,5.690161812988151,28.990890384348877,26.69543968363512,2.295450700713758,26.619038915778173,2922,9.982894355170775e-09,1.5048376798830936,2.0596017837524414
70,train,0.125,5.035031374710986,2.7500000000000004,10.134062791294442,0.6213487179002735,1.15,4.393051027342028,50.42915732319462,36.03998476948835,14.389172553706274,34.1335876008206,3482,9.990850475696585e-09,10.134062791294443,2.3583223819732666
71,test,0.175,4.226807612720326,0.95,8.178349424494616,1.6361644159815802,3.225,5.024613068115497,96.74181320445767,55.50650635076048,41.23530685369719,42.02613871361245,2580,9.972139392690863e-09,8.17834942449462,2.108353614807129
72,train,0.2,6.307691010509953,0.8,12.72335307283096,0.9359720957073764,0.0,0.0,61.188135670722005,41.34584435133251,19.842291319389496,41.3458443514275,2396,9.982773014367056e-09,12.723353072830959,1.9444983005523682
73,train,0.15000000000000002,1.1804813958450606,5.6,1.7779508366962906,0.5724435823284404,0.4,3.213376350099097,29.80694335631195,28.470041810345833,1.3369015459661178,28.333263655379724,3828,9.987485822445296e-09,1.7779508366962886,2.5499627590179443
